driverId,week,hours-logged,miles-logged
202,18,50,1900
316,29,69,2500
496,50,78,1000
915,8,74,300
455,21,78,4000
392,14,77,2800
855,18,73,900
977,49,51,2900
474,41,71,3900
845,21,80,2500
810,17,56,3200
508,27,77,400
451,36,50,2300
830,42,80,1500
583,21,64,2400
574,14,62,1300
736,48,69,3700
673,12,56,800
410,52,70,1400
72,52,77,2600
396,37,54,400
587,2,65,1700
448,4,63,3000
999,12,55,2000
122,46,76,1500
450,48,70,2400
126,19,76,1100
286,21,77,3200
114,38,54,3600
549,41,53,3100
155,1,52,1900
391,48,68,3400
80,17,76,1600
36,11,62,700
821,5,63,3600
248,18,79,1600
808,29,73,2900
951,33,78,800
999,21,73,3600
994,22,73,900
998,42,76,3900
690,17,69,1100
163,45,52,3900
657,41,77,400
611,15,61,2300
960,15,61,3100
787,19,67,3000
479,27,65,1400
227,33,72,1900
586,48,64,2000
694,47,57,400
65,50,57,400
521,38,50,200
244,37,77,1400
680,20,51,2700
829,2,71,800
293,51,67,3700
968,36,80,3800
714,38,67,1700
142,33,63,2100
637,40,54,1800
920,36,59,3400
46,43,67,200
118,48,50,600
678,40,72,2300
112,14,52,900
971,28,70,2600
878,34,68,3100
313,45,50,3300
572,51,55,1500
198,33,77,3300
871,4,64,0
614,40,70,3600
37,28,60,3700
216,46,73,3800
326,48,57,400
510,12,75,2700
352,42,68,500
177,12,73,3500
754,7,69,3500
798,51,75,400
715,51,62,2300
109,36,54,800
302,16,58,2200
708,42,76,4000
54,22,72,2700
592,9,65,1000
794,50,72,700
535,13,61,500
368,7,76,900
396,41,56,2800
972,5,67,1600
274,42,56,2300
695,49,53,1000
740,51,80,1100
928,51,79,200
197,4,58,1700
342,34,69,2400
615,6,68,3000
856,34,56,1900
213,28,58,700
587,10,66,2300
487,45,77,3900
550,3,80,1100
535,7,75,2400
392,2,76,900
684,49,80,3600
442,17,74,2400
314,48,50,1500
271,9,65,3600
87,50,63,1000
616,4,58,3600
912,42,51,3500
365,21,55,3100
919,51,70,3200
771,6,55,3600
390,44,73,2000
785,32,58,0
684,43,74,500
938,27,59,2500
485,29,62,1700
729,27,76,2500
299,13,72,3100
665,23,66,1100
33,45,68,2200
280,19,71,1000
567,48,50,800
436,30,54,1800
137,3,68,3200
609,8,69,1900
733,38,65,0
572,45,80,3700
329,41,77,500
318,9,51,3000
103,37,80,2600
478,22,53,1900
179,51,69,2700
45,23,57,100
581,11,72,1300
172,18,54,1600
897,32,53,3800
98,35,71,3300
787,23,51,2700
263,1,58,1600
768,3,65,3600
97,1,59,600
504,52,61,1900
289,5,50,3300
806,28,53,2400
558,52,76,3000
655,35,52,4000
667,7,69,0
378,28,63,100
959,22,66,2500
607,13,74,3600
26,4,78,3500
519,41,73,700
691,31,76,2900
526,19,58,3900
101,40,67,800
936,8,67,200
971,26,52,800
366,32,58,2300
80,47,55,200
568,3,66,2800
826,13,63,1300
652,36,65,1200
374,49,56,2700
601,48,74,1300
1005,3,58,3700
843,28,50,0
867,31,62,4000
388,48,63,3100
658,40,55,2300
673,42,66,3800
685,5,66,600
40,50,71,600
100,43,72,2600
79,21,80,400
432,45,51,3200
679,52,64,500
294,12,50,2900
940,6,52,2300
726,15,79,3000
678,18,76,900
61,45,78,1600
479,9,69,3800
505,37,54,400
977,38,52,3200
665,13,67,1100
810,2,70,4000
848,36,69,3200
91,50,58,900
16,17,63,2900
68,13,58,2800
743,28,55,1000
176,32,57,2300
410,23,66,100
52,23,66,2400
412,33,74,1400
545,47,50,2600
420,52,65,1300
741,11,63,1100
421,11,59,1300
475,52,74,3900
889,6,75,2100
38,4,69,2500
793,34,80,500
389,18,60,700
760,1,66,1500
372,47,77,200
222,9,64,2900
926,48,77,3700
586,45,58,2000
585,50,61,3700
731,31,65,2400
757,3,74,100
717,37,76,200
30,5,59,3900
932,12,62,300
87,34,55,900
348,28,56,3800
518,38,72,2200
194,4,69,2200
483,38,51,1000
157,4,52,100
382,32,58,1300
31,10,61,1500
150,6,71,2700
416,52,52,2800
630,16,69,1000
205,31,67,300
27,16,76,300
159,47,71,3700
354,43,66,400
600,46,53,600
823,49,76,3400
659,15,57,300
253,35,79,4000
622,21,76,2600
969,43,76,100
578,35,78,1700
910,40,72,1700
115,39,78,2900
791,21,72,1300
800,8,66,3800
537,19,66,1800
508,1,64,2700
509,26,70,3200
898,47,61,3000
832,42,63,2400
253,51,55,900
646,26,78,2100
841,45,69,3700
802,31,68,3300
944,6,76,800
361,29,56,2300
788,20,55,3800
516,43,51,2200
216,5,71,600
944,44,56,2400
727,20,51,2300
342,17,64,3600
644,50,64,3600
720,52,70,3200
293,40,72,2700
871,47,73,3300
170,49,55,1000
672,15,73,3500
683,7,69,2200
708,36,68,3400
240,18,66,3900
121,7,71,200
122,28,61,2300
224,12,54,3500
502,31,60,600
629,26,61,600
872,4,72,3300
977,44,66,1300
363,29,80,2400
786,34,68,3700
198,16,68,1400
204,51,57,900
703,29,53,2300
391,29,69,3900
670,13,68,100
223,5,65,1500
149,2,70,2300
397,30,56,3400
541,33,69,1500
875,8,75,600
695,10,72,3900
774,23,75,2100
556,51,72,2600
468,18,73,1900
910,37,79,3300
605,21,71,3200
740,14,64,2300
837,3,58,700
447,47,60,1900
66,16,69,1200
922,33,68,900
106,16,64,1200
515,35,76,0
753,36,67,900
338,25,73,1200
679,39,74,2500
323,46,79,1500
229,17,76,3200
337,9,51,800
405,42,63,100
606,1,64,1400
755,43,58,2200
652,51,70,2900
272,35,59,1900
233,11,68,600
906,3,52,2700
928,5,67,1100
767,43,63,3700
798,15,51,900
267,11,59,200
347,44,74,400
781,1,50,1200
166,28,56,900
531,29,55,1500
529,21,76,800
465,48,76,2000
586,13,61,1900
191,37,50,2000
750,24,74,0
420,49,59,2300
740,5,72,2500
966,16,60,3500
544,35,73,3000
279,8,68,3100
354,43,55,2900
325,33,65,3000
263,14,56,1700
166,14,68,800
277,25,54,3500
135,35,50,1700
403,51,78,800
630,52,55,1200
198,7,63,1400
477,3,54,1100
911,11,74,3400
541,33,66,2200
574,34,76,3900
316,22,65,100
789,38,72,3000
885,22,65,1400
786,17,55,3100
472,46,67,300
292,40,52,3900
134,32,51,1600
149,18,70,800
152,27,53,2400
510,42,78,1200
940,19,64,700
10,8,52,1900
678,5,74,200
524,23,57,2400
803,49,64,1000
702,19,67,2500
214,29,54,2100
336,28,73,2500
315,36,63,1300
34,7,71,3900
622,30,51,2000
744,4,54,2100
88,50,50,3900
646,32,55,1800
227,15,75,2500
821,43,71,3100
162,14,50,3400
439,39,73,800
127,22,63,1200
541,16,74,2000
205,36,62,0
609,39,58,2300
850,15,75,1100
446,41,63,2800
885,18,67,0
94,35,63,3800
774,42,65,3800
41,34,56,3400
480,40,57,400
368,42,62,700
770,7,64,3400
158,49,63,4000
999,32,61,4000
538,4,74,1100
724,47,54,1900
738,39,70,100
310,2,71,4000
606,9,62,1000
574,40,71,0
624,13,57,800
510,30,51,3100
920,18,56,1800
535,51,60,1100
790,14,57,500
501,26,64,3300
386,16,72,3500
437,20,66,1200
488,16,62,2700
801,3,80,1800
105,29,73,2400
905,23,77,200
858,36,65,2200
935,9,72,600
751,52,66,1000
864,43,52,3200
927,29,58,2200
381,5,79,700
716,22,79,1300
350,41,69,3900
743,32,55,2600
676,19,68,2600
425,48,65,2600
725,10,53,3600
206,38,61,2400
575,47,58,4000
645,24,71,900
812,8,62,900
714,47,75,700
489,20,56,0
711,45,56,2700
292,46,61,900
781,31,57,700
563,25,67,2600
287,12,76,3800
79,6,53,1900
695,33,76,1000
615,8,80,3500
331,36,67,2500
548,16,55,2600
32,35,74,100
966,11,69,2800
355,36,51,2100
146,17,58,1600
613,43,67,1600
779,33,71,3200
505,20,66,1000
536,16,62,2900
106,32,53,1000
554,17,66,2100
181,22,63,2400
362,14,54,3600
14,25,56,1600
754,36,64,0
969,26,72,1200
374,38,65,3400
794,40,78,3800
780,31,76,1400
620,43,53,2000
156,10,74,100
468,2,73,3200
33,32,63,700
729,52,74,3700
465,21,60,1300
168,33,77,1000
288,30,61,3400
82,52,50,2500
25,17,64,3100
414,27,80,1000
146,34,62,1500
218,1,67,2000
27,31,53,4000
395,14,64,200
293,15,68,700
105,45,73,3500
855,26,51,2000
600,48,50,3900
355,35,53,3500
303,14,68,500
46,26,52,2900
103,21,50,2900
469,3,78,4000
998,41,50,2400
782,29,61,3400
242,7,68,900
470,14,68,2800
417,50,67,1900
339,47,76,1600
612,25,74,100
97,26,54,4000
236,11,75,300
683,20,53,1600
363,50,64,3000
620,28,80,3800
485,10,79,3600
454,1,66,3500
385,38,72,2600
432,17,59,3500
338,44,66,2700
137,15,80,700
933,36,57,3900
53,13,63,3300
619,27,55,1700
409,40,71,500
51,9,64,3400
408,3,77,3200
87,14,55,2300
110,11,53,2000
677,37,51,2100
375,5,78,800
739,52,71,900
719,47,80,300
483,38,75,3800
477,52,61,200
446,22,61,300
873,13,50,1600
281,13,51,1600
982,13,50,1500
194,37,58,3300
466,8,61,600
726,11,72,2800
994,7,64,2100
268,4,72,1300
599,46,77,1600
671,51,76,2000
437,40,63,700
344,48,55,3800
554,40,50,2100
957,18,56,4000
502,23,59,3000
977,1,56,1600
759,48,73,2300
1002,11,64,900
974,14,61,800
460,34,61,800
758,27,68,600
175,32,69,1200
968,27,78,900
252,29,77,300
40,13,71,3400
24,7,69,1300
32,10,63,3700
90,5,56,200
956,26,56,3100
909,34,65,3400
135,22,65,3400
271,15,70,3800
784,19,72,700
995,30,69,2000
284,40,65,3500
183,41,60,700
754,50,57,1200
858,43,70,3000
465,52,52,3700
154,20,52,4000
644,49,50,400
992,37,52,4000
921,42,67,3100
885,17,65,4000
349,39,73,3700
138,18,59,3500
308,22,64,2700
707,8,78,2200
74,30,54,300
573,34,61,3400
917,9,57,3000
751,33,54,2900
439,31,64,800
367,44,71,1900
69,24,60,3400
369,5,65,800
777,38,54,1000
590,15,60,1900
801,27,70,3200
897,2,64,3500
84,25,80,3800
943,35,68,2800
311,16,70,0
165,47,80,900
690,39,67,3500
838,19,73,100
833,2,75,2900
760,38,78,1400
583,30,51,3300
198,41,72,1700
496,22,57,2500
295,1,57,600
565,33,69,700
410,14,57,3300
157,29,68,1000
352,25,62,1100
162,11,80,2600
413,25,59,1600
617,24,57,3500
86,28,57,3300
533,48,53,2600
355,50,57,1500
999,42,63,3700
877,29,66,0
926,52,71,3500
824,14,67,1300
815,39,70,2000
542,13,75,2100
154,40,63,3300
41,29,70,3300
556,15,79,1300
232,7,71,3600
570,44,80,1300
474,30,58,3000
861,36,75,2500
789,8,72,400
244,11,78,700
513,23,69,1600
521,34,59,2000
393,19,68,3300
885,39,77,200
135,14,56,2900
898,12,59,1200
18,2,64,2000
830,10,51,0
871,23,56,500
197,23,79,3000
459,44,78,3300
918,41,54,2500
471,21,51,1900
663,35,69,2600
841,31,52,600
177,42,58,900
78,35,63,2700
975,51,62,2600
224,12,50,3800
423,20,72,3000
88,26,56,3000
885,43,53,2900
881,21,59,3100
915,18,55,3400
301,45,63,2000
672,23,64,400
170,12,77,1300
362,42,64,1000
811,33,66,2600
742,29,76,2500
392,5,62,2800
712,13,78,2100
805,24,66,2900
337,49,53,700
176,45,74,2300
108,21,50,2100
914,38,72,600
339,39,78,3300
213,11,60,400
865,6,79,2700
416,10,74,1700
290,45,67,300
351,30,70,1800
528,38,68,400
835,33,59,2500
318,38,78,100
471,30,58,2500
382,2,52,3500
911,5,59,900
95,35,50,600
417,47,80,2900
146,34,52,2400
303,6,67,400
202,42,70,1300
851,43,59,1800
194,22,58,1700
632,11,55,2600
656,11,64,2600
857,23,70,3100
468,18,78,3900
877,16,59,2200
886,35,51,3700
993,24,57,900
722,15,58,3400
895,1,52,1800
808,8,65,2200
412,44,57,2900
712,25,54,800
862,9,70,3100
391,37,55,200
87,10,50,3000
760,12,50,3300
